Módulo,URL,Name,Categoria,Conteúdos,atividades,Carga horária,Status,Data da conclusão,Certificados
1,https://web.dio.me/lives/aula-inaugural-santander-bootcamps-2023,Aula Inaugural - Santander Bootcamps 2023,Live,,,2,In progress,17/08/2023 7:00 PM,
1,https://web.dio.me/course/bootcamps-dio-educacao-gratuita-e-empregabilidade-juntas/learning/69d466f2-65e7-4799-b5d9-1074a9884313?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Bootcamps DIO: Educação Gratuita e Empregabilidade Juntas!,Curso,,1/1,1,Done,16/08/2023,https://www.dio.me/certificate/5BCABDF8/share
2,https://web.dio.me/project/desafio-de-projeto-contribuindo-em-um-projeto-open-source-no-github/learning/913f26fd-1018-4643-b59a-6356ea77dc2e?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Contribuindo em um Projeto Open Source no GitHub,Curso,"Git (https://www.notion.so/Git-7fce2c056f5b4727b23e159eddf75a99?pvs=21), GitHub (https://www.notion.so/GitHub-640f675579294669b5a9fa51815ebf84?pvs=21)",1/1,1,In progress,21/08/2023,
2,https://web.dio.me/course/desafios-de-projetos-crie-um-portfolio-vencedor/learning/37bfd7e4-fadd-48c2-831b-a95f84d244db?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Desafios de Projetos: Crie um Portifólio Vencedor,Curso,,1/1,1,In progress,19/08/2023,
2,https://web.dio.me/course/versionamento-de-codigo-com-git-e-github/learning/f3cbaa66-efbd-4c25-842e-2069c188c066?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Versionamento de Código com Git e GitHub,Curso,"Git (https://www.notion.so/Git-7fce2c056f5b4727b23e159eddf75a99?pvs=21), GitHub (https://www.notion.so/GitHub-640f675579294669b5a9fa51815ebf84?pvs=21)",1/5,2,In progress,18/08/2023,
2,https://web.dio.me/course/organizando-seus-estudos-com-os-roadmaps-dio-e-o-notion/learning/954c3fdf-1dd1-47e0-b6fc-48cc7020b5b2?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Organizando seus estudos com os Roadmaps Dio e o Notion,Curso,,1/4,2,Done,17/08/2023 → 18/08/2023,https://hermes.digitalinnovation.one/certificates/ED59158C.pdf?_gl=1*1dw6gze*_ga*Mzk0MDc5NzYwLjE2NTgyNDk0MDI.*_ga_7GXMH3CQ72*MTY5MjI1MzY4Mi4zNDguMS4xNjkyMjU4MTY4LjIxLjAuMA..
3,,Construindo uma Pokédex com JavaScript,Desafio de Projeto,"JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21), HTML5 (https://www.notion.so/HTML5-0d4d4ead6eb7415fa0cfe1e89e1a337c?pvs=21), CSS3 (https://www.notion.so/CSS3-95e5a70a9d514078aa033f9b33835a2f?pvs=21)",1/1,1,Not started,,
3,,Dominando o Protocolo HTTP e integrando com a PokeAPI,Curso,"JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21), HTTP (https://www.notion.so/HTTP-1ba0fd77e23340e599087cdd9be95686?pvs=21), HTML5 (https://www.notion.so/HTML5-0d4d4ead6eb7415fa0cfe1e89e1a337c?pvs=21), CSS3 (https://www.notion.so/CSS3-95e5a70a9d514078aa033f9b33835a2f?pvs=21)",3/3,4,In progress,,
3,https://web.dio.me/project/desafio-de-projeto-contribuindo-em-um-projeto-open-source-no-github/learning/913f26fd-1018-4643-b59a-6356ea77dc2e?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Criando um projeto com HTML/CSS para listagem de Pokémon,Curso,"JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21), HTML5 (https://www.notion.so/HTML5-0d4d4ead6eb7415fa0cfe1e89e1a337c?pvs=21), CSS3 (https://www.notion.so/CSS3-95e5a70a9d514078aa033f9b33835a2f?pvs=21)",3/3,2,In progress,,
3,https://web.dio.me/project/desafio-de-projeto-contribuindo-em-um-projeto-open-source-no-github/learning/913f26fd-1018-4643-b59a-6356ea77dc2e?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Introdução ao Desenvolvimento Web com Javascript,Curso,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),2/2,1,Not started,,
3,https://web.dio.me/project/desafio-de-projeto-contribuindo-em-um-projeto-open-source-no-github/learning/913f26fd-1018-4643-b59a-6356ea77dc2e?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Sintaxe básica em Javascript,Curso,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/7,2,Not started,,
3,https://web.dio.me/course/introducao-criacao-de-websites-com-html5-e-css3/learning/462f831d-5fdf-485e-bf07-1d391eb94ac8?back=/track/santander-bootcamp-2023-fullstack-java-angular&tab=undefined&moduleId=undefined,Introdução a Criação de Websites com HTML5 e CSS3,Curso,"HTML5 (https://www.notion.so/HTML5-0d4d4ead6eb7415fa0cfe1e89e1a337c?pvs=21), CSS3 (https://www.notion.so/CSS3-95e5a70a9d514078aa033f9b33835a2f?pvs=21)",1/8,6,Not started,21/08/2023 → 22/08/2023,
4,,Desafios Full Stack JavaScript: O Grande Deposito,Desafio de Código,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/1,1,Not started,,
4,,Juros Compostos,Desafio de Código,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/1,1,Not started,,
4,,Desafios Full Stack JavaScript: Condicionalmente Rico,Desafio de Código,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/1,1,Not started,,
4,,Desafios Full Stack JavaScript: Organizando seus ativos,Desafio de Código,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/1,1,Not started,,
4,,Desafios Full Stack JavaScript: Equilibrando o Saldo,Desafio de Código,JavaScript (https://www.notion.so/JavaScript-f309792907f14d549534b2fa9f7b7634?pvs=21),1/1,1,Not started,,
4,,Desafios de código: Aperfeiçoe sua lógica e pensamento computacional,Curso,Lógica e Pensamento Computacional (https://www.notion.so/L-gica-e-Pensamento-Computacional-f20f1fb32b4145bb839ac17fd107b67f?pvs=21),1/1,1,Not started,,
5,,Criando um Blog com Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/1,3,Not started,,
5,,Módulos Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/3,1,Not started,,
5,,Single Page Application Com Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/5,2,Not started,,
5,,LifeCycle Hooks Angular,Curso,"Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21), Hooks (https://www.notion.so/Hooks-034bc7fec0864a64beaf16cecf185e2b?pvs=21)",1/5,2,Not started,,
5,,Trabalhando com Componentes Angular,Curso,"Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21), Web Componentes (https://www.notion.so/Web-Componentes-226cfff62f4d4a4c9dd364510a8b97ee?pvs=21)",1/6,2,Not started,,
5,,Introdução ao Ecossistema Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/5,2,Not started,,
5,,Typescript para Angular,Curso,"Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21), Typescript (https://www.notion.so/Typescript-dd77e23dc1784577b73575425edbf2cd?pvs=21)",1/10,3,Not started,,
5,,Trabalhando com Web Components no Front-End,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/5,3,Not started,,
6,,Recriando a Interface da PlayStation Store com Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/1,2,Not started,,
6,,Trabalhando com Services no Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/3,2,Not started,,
6,,Trabalhando com Rotas no Angular,Curso,Angular (https://www.notion.so/Angular-034450db72094d39bf25beb962805702?pvs=21),1/3,1,Not started,,
7,,Orientação a objetos e UML: diagramação de classes do Iphone,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), API REST (https://www.notion.so/API-REST-a5d0682fd87047baadfabe9e1386b41e?pvs=21)",1/1,2,Not started,,
7,,Ganhando Produtividade com Stream API,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), API REST (https://www.notion.so/API-REST-a5d0682fd87047baadfabe9e1386b41e?pvs=21)",1/3,2,Not started,,
7,,Conhecendo colletions Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/5,4,Not started,,
7,,Pilares da programação orientada a objetos com Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,2,Not started,,
7,,Fundamentos da Programação Orientada a Objetos com Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,3,Not started,,
7,,Criando um pequeno Sistema para validação de processo seletivo,Desafio de Projeto,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
7,,Java e Tratamento de Exceções,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),2/2,1,Not started,,
7,,Estruturas de Repetição em Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),2/2,1,Not started,,
7,,Introdução e Estruturas Condicionais com Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/3,1,Not started,,
7,,Aprendendo a Sintaxe Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),9/9,5,Not started,,
7,,Ambiente de Desenvolvimento Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),2/2,1,Not started,,
7,,Introdução à plataforma Java,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),2/2,1,Not started,,
8,,Desafios Full Stack Java: A última transação,Desafio de Código,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
8,,Desafios Full Stack Java: Reunião Acionistas,Desafio de Código,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
8,,Desafios Full Stack Java: Cofres Seguros,Desafio de Código,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
8,,Desafios Full Stack Java: Herança Bancária,Desafio de Código,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
9,,Introdução a Bando de Dados NoSQL,Curso,NoSQL (https://www.notion.so/NoSQL-85a87f965e2f45028a4b06b095284067?pvs=21),1/6,3,Not started,,
9,,Introdução a Bando de Dados Relacionais (SQL),Curso,SQL (https://www.notion.so/SQL-1da9e542e5d241cd92a7dd1cd13f8c3b?pvs=21),1/6,3,Not started,,
10,,Introdução a Bando de Dados NoSQL,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,1,Not started,,
10,,"Publicando sua API REST na nuvem usando Spring Boot3, Java 17 e Railway",Desafio de Projeto,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,3,Not started,,
10,,Explorando padrões de projeros com Java,Desafio de Projeto,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/1,2,Not started,,
10,,Adicionando Segurança a uma API REST com spring security,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/3,2,Not started,,
10,,Criando uma API REST documenada com spring web e swagger,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), API REST (https://www.notion.so/API-REST-a5d0682fd87047baadfabe9e1386b41e?pvs=21)",1/3,2,Done,,
10,,Imersão no Spring Framework com Spring Boot,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), Spring Boot (https://www.notion.so/Spring-Boot-def5075cc21e4322be9da6baf4f0625e?pvs=21)",1/3,3,Done,,
10,,Contextualizando o Desenvolvimento Web com Spring Boot 3,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), Spring Boot (https://www.notion.so/Spring-Boot-def5075cc21e4322be9da6baf4f0625e?pvs=21)",1/2,1,Not started,,
10,,Teste Unitários com JUnit,Curso,Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21),1/7,2,Not started,,
10,,Gerencimento de dependências e build em java com maven,Curso,"Java (https://www.notion.so/Java-6a8eee1918d14b2e92292a1b564ef10d?pvs=21), Maven (https://www.notion.so/Maven-4bf1575f0254429f993e1e7a4afa3278?pvs=21)",1/8,2,Done,,
,,,Curso,,,,Not started,,